,금융회사,상품명,적립방식,세전이자율,세후이자율,세후이자(예시),최고우대금리,실질이자율,이자계산방식,기간,비교 공시일,담당부서 및 연락처,우대조건,가입대상.1,가입방법,만기후 이자율,기타유의사항,등급,cluster_num,우대사항정리,급여이체,마케팅동의,자동이체,카드실적,최초거래,주택청약,비대면,영업점,해당은행,이체횟수,만기,변동금리,이벤트,기타,나이,환경,신혼,반려인,직장인,여행
1571,오케이저축은행,OK e-안심앱플러스정기예금(변동금리),,4.31%,3.65%,"1,165,516",4.31%,,복리,36개월,2023-10-31,경영기획부 02-3704-9856 수신 금리문의 : 1899-7979,없음,개인,온라인,"만기 후 1개월 이하: 약정이율 혹은 만기시점 해당상품 이율 중 낮은 이율
만기 후 1개월 초과: 연0.1%","*OK저축은행 모바일뱅킹앱 전용상품
*3년제 정기예금으로 가입 후 매 1년 마다 해당시점 금리로 자동연장되는 변동금리 상품. 매 1년 경과 후 중도해지 시 가입일부터 1년 경과 시점까지는 정상이율을 적용함",3,9,우대사항없음,,,,,,,,,,,,,,,,,,,,
1572,오케이저축은행,OK e-안심정기예금(변동금리),,4.31%,3.65%,"1,165,516",4.31%,,복리,36개월,2023-10-31,경영기획부 02-3704-9856 수신 금리문의 : 1899-7979,없음,제한없음,온라인,"만기 후 1개월 이하 약정이율 혹은 만기시점 해당상품 이율 중 낮은 이율, 만기 후 1개월 초과 시 부터 0.1%",3년제 정기예금으로 가입 후 매 1년 마다 해당시점 금리로 자동연장되는 변동금리 상품. 매 1년 경과 후 중도해지 시 가입일부터 1년 경과 시점까지는 정상이율을 적용함,3,2,우대사항없음,,,,,,,,,,,,,,,,,,,,
1573,오케이저축은행,OK e-안심정기예금(변동금리),,4.31%,3.65%,"1,093,890",4.31%,,단리,36개월,2023-10-31,경영기획부 02-3704-9856 수신 금리문의 : 1899-7979,없음,제한없음,온라인,"만기 후 1개월 이하 약정이율 혹은 만기시점 해당상품 이율 중 낮은 이율, 만기 후 1개월 초과 시 부터 0.1%",3년제 정기예금으로 가입 후 매 1년 마다 해당시점 금리로 자동연장되는 변동금리 상품. 매 1년 경과 후 중도해지 시 가입일부터 1년 경과 시점까지는 정상이율을 적용함,3,6,우대사항없음,,,,,,,,,,,,,,,,,,,,
1574,오케이저축은행,OK안심정기예금(변동금리),,4.31%,3.65%,"1,165,516",4.31%,,복리,36개월,2023-10-31,경영기획부 02-3704-9856 수신 금리문의 : 1899-7979,없음,제한없음,영업점,"만기 후 1개월 이하 약정이율 혹은 만기시점 해당상품 이율 중 낮은 이율, 만기 후 1개월 초과 시 부터 0.1%",3년제 정기예금으로 가입 후 매 1년 마다 해당시점 금리로 자동연장되는 변동금리 상품. 매 1년 경과 후 중도해지 시 가입일부터 1년 경과 시점까지는 정상이율을 적용함,3,5,우대사항없음,,,,,,,,,,,,,,,,,,,,
1575,오케이저축은행,OK안심정기예금(변동금리),,4.31%,3.65%,"1,093,890",4.31%,,단리,36개월,2023-10-31,경영기획부 02-3704-9856 수신 금리문의 : 1899-7979,없음,제한없음,영업점,"만기 후 1개월 이하 약정이율 혹은 만기시점 해당상품 이율 중 낮은 이율, 만기 후 1개월 초과 시 부터 0.1%",3년제 정기예금으로 가입 후 매 1년 마다 해당시점 금리로 자동연장되는 변동금리 상품. 매 1년 경과 후 중도해지 시 가입일부터 1년 경과 시점까지는 정상이율을 적용함,3,1,우대사항없음,,,,,,,,,,,,,,,,,,,,
1576,애큐온저축은행,플러스회전식정기예금(변동금리),,4.30%,3.64%,"1,162,639",4.30%,,복리,36개월,2023-08-30,ESG경영팀 0234852434,모바일뱅킹 가입: 연0.10%,제한없음,모두가능,"만기후 1개월 이내 해지 시 : 마지막 회전기간 약정금리
만기후 1개월 초과 이후 해지 시 : 보통예금이율","가입금액: 1백만원 이상
1년단위 변동금리 상품 : 가입기간 36개월(가입후 매1년 회전주기 단위로 약정이율 변동)
약정이율 : 회전시점 정기예금 12개월금리+0.1% 
중도해지이율 : 완료된 회전주기기간은 중도해지시에도 기간별 약정금리제공
(미완료된 회전주기기간은 당행 중도해지이자율 적용)",4,4,우대사항없음,,,,,,,,,,,,,,,,,,,,
1577,애큐온저축은행,플러스회전식정기예금(변동금리),,4.30%,3.64%,"1,091,340",4.30%,,단리,36개월,2023-08-30,ESG경영팀 0234852434,모바일뱅킹 가입: 연0.10%,제한없음,모두가능,"만기후 1개월 이내 해지 시 : 마지막 회전기간 약정금리
만기후 1개월 초과 이후 해지 시 : 보통예금이율","가입금액: 1백만원 이상
1년단위 변동금리 상품 : 가입기간 36개월(가입후 매1년 회전주기 단위로 약정이율 변동)
약정이율 : 회전시점 정기예금 12개월금리+0.1% 
중도해지이율 : 완료된 회전주기기간은 중도해지시에도 기간별 약정금리제공
(미완료된 회전주기기간은 당행 중도해지이자율 적용)",4,7,우대사항없음,,,,,,,,,,,,,,,,,,,,
1578,제이티친애저축은행,비대면 회전식 정기예금,,4.30%,3.64%,"1,162,639",4.30%,,복리,36개월,2023-11-10,"경영기획부, 15990060",없음,제한없음,온라인,"-1개월 이내 해지시 : 약정이율 적용
-1개월 초과 이후 해지시 : 보통예금 금리 적용","1. 가입기간 : 36개월 ~ 60개월만 가능
2. 적용금리(약정금리)
- 가입시점 : 개설일 기준의 영업점 및 홈페이지에 고시한 이율적용
- 회전기간 도래시점 : 회전당일 기준의 영업점 및 홈페이지에 고시한 이율적용
3. 중도해지이자율 
- 기간별 차등적용(당사홈페이지 참조)",5,2,우대사항없음,,,,,,,,,,,,,,,,,,,,
1579,제이티친애저축은행,비대면 회전식 정기예금,,4.30%,3.64%,"1,091,340",4.30%,,단리,36개월,2023-11-10,"경영기획부, 15990060",없음,제한없음,온라인,"-1개월 이내 해지시 : 약정이율 적용
-1개월 초과 이후 해지시 : 보통예금 금리 적용","1. 가입기간 : 36개월 ~ 60개월만 가능
2. 적용금리(약정금리)
- 가입시점 : 개설일 기준의 영업점 및 홈페이지에 고시한 이율적용
- 회전기간 도래시점 : 회전당일 기준의 영업점 및 홈페이지에 고시한 이율적용
3. 중도해지이자율 
- 기간별 차등적용(당사홈페이지 참조)",5,6,우대사항없음,,,,,,,,,,,,,,,,,,,,
1580,에스비아이저축은행,복리정기예금(변동금리),,4.30%,3.64%,"1,162,639",4.40%,,복리,36개월,2023-10-26,"고객문의 1566-2210, 사이다 상품 전용 고객문의 1644-5277, (공시)리테일마케팅팀",- 회전주기우대금리 : 연0.1%(12개월 경과 시 적용),만 17세이상,온라인,"- 만기 후 1개월 이하: 약정금리(만기시점 약정년차 금리)
- 만기 후 1개월 초과: 연0.2%",-1년 마다 고시이율이 적용되는 변동금리 상품,2,9,* 변동금리 : 0.1% [12개월 경과시],,,,,,,,,,,,0.1%,,,,,,,,
1581,한국투자저축은행,비대면회전정기예금,,4.25%,3.60%,"1,148,267",4.25%,,복리,36개월,2023-09-01,"예금/대출 문의 1577-6333, 공시부서(영업지원팀)031-788-0306","- 없음, - 판매한도 소진시 별도 안내 없이 조기 판매 종료됩니다.",제한없음,온라인,"- 1개월 이하 : 당초 약정이율과 만기시점 해당상품 신규약정이율 중 낮은 이율
- 1개월 초과 : 연 0.2%",- 회전정기예금2 상품의 경우 현재 판매 일시중단되었으나 회전주기 도래시 4.20% 적용,1,0,우대사항없음,,,,,,,,,,,,,,,,,,,,
1582,한국투자저축은행,비대면회전정기예금,,4.25%,3.60%,"1,078,650",4.25%,,단리,36개월,2023-09-01,"예금/대출 문의 1577-6333, 공시부서(영업지원팀)031-788-0306","- 없음, - 판매한도 소진시 별도 안내 없이 조기 판매 종료됩니다.",제한없음,온라인,"- 1개월 이하 : 당초 약정이율과 만기시점 해당상품 신규약정이율 중 낮은 이율
- 1개월 초과 : 연 0.2%",- 회전정기예금2 상품의 경우 현재 판매 일시중단되었으나 회전주기 도래시 4.20% 적용,1,0,우대사항없음,,,,,,,,,,,,,,,,,,,,
1583,한국투자저축은행,인터넷회전정기예금,,4.25%,3.60%,"1,148,267",4.25%,,복리,36개월,2023-09-01,"예금/대출 문의 1577-6333, 공시부서(영업지원팀)031-788-0306","- 없음, - 판매한도 소진시 별도 안내 없이 조기 판매 종료됩니다.",제한없음,온라인,"- 1개월 이하 : 당초 약정이율과 만기시점 해당상품 신규약정이율 중 낮은 이율
- 1개월 초과 : 연 0.2%",- 회전정기예금2 상품의 경우 현재 판매 일시중단되었으나 회전주기 도래시 4.20% 적용,1,0,우대사항없음,,,,,,,,,,,,,,,,,,,,
1584,한국투자저축은행,인터넷회전정기예금,,4.25%,3.60%,"1,078,650",4.25%,,단리,36개월,2023-09-01,"예금/대출 문의 1577-6333, 공시부서(영업지원팀)031-788-0306","- 없음, - 판매한도 소진시 별도 안내 없이 조기 판매 종료됩니다.",제한없음,온라인,"- 1개월 이하 : 당초 약정이율과 만기시점 해당상품 신규약정이율 중 낮은 이율
- 1개월 초과 : 연 0.2%",- 회전정기예금2 상품의 경우 현재 판매 일시중단되었으나 회전주기 도래시 4.20% 적용,1,0,우대사항없음,,,,,,,,,,,,,,,,,,,,
1585,한국투자저축은행,회전정기예금,,4.25%,3.60%,"1,078,650",4.25%,,단리,36개월,2023-06-27,"예금/대출 문의 1577-6333, 공시부서(영업지원팀)031-788-0306",- 없음,제한없음,영업점,"- 1개월 이하 : 당초 약정이율과 만기시점 해당상품 신규약정이율 중 낮은 이율
- 1개월 초과 : 연 0.2%",- 회전정기예금2 상품의 경우 현재 판매 일시중단되었으나 회전주기 도래시 4.20% 적용,1,1,우대사항없음,,,,,,,,,,,,,,,,,,,,
1586,한국투자저축은행,회전정기예금,,4.25%,3.60%,"1,148,267",4.25%,,복리,36개월,2023-06-27,"예금/대출 문의 1577-6333, 공시부서(영업지원팀)031-788-0306",- 없음,제한없음,영업점,"- 1개월 이하 : 당초 약정이율과 만기시점 해당상품 신규약정이율 중 낮은 이율
- 1개월 초과 : 연 0.2%",- 회전정기예금2 상품의 경우 현재 판매 일시중단되었으나 회전주기 도래시 4.20% 적용,1,5,우대사항없음,,,,,,,,,,,,,,,,,,,,
1587,제이티친애저축은행,회전식 정기예금,,4.25%,3.60%,"1,148,267",4.25%,,복리,36개월,2023-11-10,"경영기획부, 15990060",없음,제한없음,영업점,"-1개월 이내 해지시 : 약정이율 적용
-1개월 초과 이후 해지시 : 보통예금 금리 적용","1. 가입기간 : 36개월 ~ 60개월만 가능
2. 적용금리(약정금리)
- 가입시점 : 개설일 기준의 영업점 및 홈페이지에 고시한 이율적용
- 회전기간 도래시점 : 회전당일 기준의 영업점 및 홈페이지에 고시한 이율적용
3. 중도해지이자율 
- 기간별 차등적용(당사홈페이지 참조)",5,5,우대사항없음,,,,,,,,,,,,,,,,,,,,
1588,제이티친애저축은행,회전식 정기예금,,4.25%,3.60%,"1,078,650",4.25%,,단리,36개월,2023-11-10,"경영기획부, 15990060",없음,제한없음,영업점,"-1개월 이내 해지시 : 약정이율 적용
-1개월 초과 이후 해지시 : 보통예금 금리 적용","1. 가입기간 : 36개월 ~ 60개월만 가능
2. 적용금리(약정금리)
- 가입시점 : 개설일 기준의 영업점 및 홈페이지에 고시한 이율적용
- 회전기간 도래시점 : 회전당일 기준의 영업점 및 홈페이지에 고시한 이율적용
3. 중도해지이자율 
- 기간별 차등적용(당사홈페이지 참조)",5,1,우대사항없음,,,,,,,,,,,,,,,,,,,,
1589,오케이저축은행,OK e-안심앱플러스정기예금6 (변동금리),,4.21%,3.56%,"1,136,785",4.21%,,복리,36개월,2023-10-31,경영기획부 02-3704-9856 수신 금리문의 : 1899-7979,없음,제한없음,온라인,"만기 후 1개월 이하: 약정이율 혹은 만기시점 해당상품 이율 중 낮은 이율
만기 후 1개월 초과: 연0.1%","*OK저축은행 모바일뱅킹앱 전용상품
*6개월 회전식 정기예금 (3년 만기 정기예금으로 가입 후 매 6개월 마다 해당시점 금리로 자동연장되는 변동금리 상품. 매 6개월 경과 후 중도해지 시 가입일부터 6개월 경과 시점까지는 정상이율을 적용함.)",3,2,우대사항없음,,,,,,,,,,,,,,,,,,,,
1590,오케이저축은행,OK e-안심앱플러스정기예금6 (변동금리),,4.21%,3.56%,"1,068,510",4.21%,,단리,36개월,2023-10-31,경영기획부 02-3704-9856 수신 금리문의 : 1899-7979,없음,제한없음,온라인,"만기 후 1개월 이하: 약정이율 혹은 만기시점 해당상품 이율 중 낮은 이율
만기 후 1개월 초과: 연0.1%","*OK저축은행 모바일뱅킹앱 전용상품
*6개월 회전식 정기예금 (3년 만기 정기예금으로 가입 후 매 6개월 마다 해당시점 금리로 자동연장되는 변동금리 상품. 매 6개월 경과 후 중도해지 시 가입일부터 6개월 경과 시점까지는 정상이율을 적용함.)",3,6,우대사항없음,,,,,,,,,,,,,,,,,,,,
1591,고려저축은행,회전정기예금,,4.20%,3.55%,"1,065,960",4.20%,,단리,36개월,2023-10-26,"영업추진팀,051-640-9023",-,제한없음,영업점,"*2019.06.30 가입분까지 만기시점 보통예금이자율(현재0.1%)
*2019.07.01 가입분부터 
1개월이내: 당초 약정금리와 만기시 동일상품 동일계약기간의 신규약정금리 중 낮은이율
1개월초과: 보통예금이자율(현재0.1%)",-,4,1,우대사항없음,,,,,,,,,,,,,,,,,,,,
1592,고려저축은행,회전정기예금,,4.20%,3.55%,"1,133,916",4.20%,,복리,36개월,2023-10-26,"영업추진팀,051-640-9023",-,제한없음,영업점,"*2019.06.30 가입분까지 만기시점 보통예금이자율(현재0.1%)
*2019.07.01 가입분부터 
1개월이내: 당초 약정금리와 만기시 동일상품 동일계약기간의 신규약정금리 중 낮은이율
1개월초과: 보통예금이자율(현재0.1%)",-,4,5,우대사항없음,,,,,,,,,,,,,,,,,,,,
1593,고려저축은행,회전정기예금(비대면),,4.20%,3.55%,"1,133,916",4.20%,,복리,36개월,2023-10-26,"영업추진팀,051-640-9023",-,제한없음,온라인,"*2019.06.30 가입분까지 만기시점 보통예금이자율(현재0.1%)
*2019.07.01 가입분부터 
1개월이내: 당초 약정금리와 만기시 동일상품 동일계약기간의 신규약정금리 중 낮은이율
1개월초과: 보통예금이자율(현재0.1%)",-,4,2,우대사항없음,,,,,,,,,,,,,,,,,,,,
1594,고려저축은행,회전정기예금(비대면),,4.20%,3.55%,"1,065,960",4.20%,,단리,36개월,2023-10-26,"영업추진팀,051-640-9023",-,제한없음,온라인,"*2019.06.30 가입분까지 만기시점 보통예금이자율(현재0.1%)
*2019.07.01 가입분부터 
1개월이내: 당초 약정금리와 만기시 동일상품 동일계약기간의 신규약정금리 중 낮은이율
1개월초과: 보통예금이자율(현재0.1%)",-,4,6,우대사항없음,,,,,,,,,,,,,,,,,,,,
1595,상상인저축은행,뱅뱅뱅 9개월 회전정기예금,,4.20%,3.55%,"1,133,916",4.20%,,복리,36개월,2023-11-10,"예금/대출 문의 : 1577-1771, 공시부서 : 경영기획팀",없음,제한없음,온라인,"신규가입일 당시 영업점 및 인터넷 홈페이지에 고시한 경과기간별 만기후이자율 적용
-1개월 이내: 최종 회전이율과 만기시점 동일상품 동일계약기간의 신규약정금리 중 낮은 금리를 적용
-1개월 초과: 보통예금 이율: 연0.1%(세전)",없음,4,2,우대사항없음,,,,,,,,,,,,,,,,,,,,
1596,상상인저축은행,뱅뱅뱅 9개월 회전정기예금,,4.20%,3.55%,"1,065,960",4.20%,,단리,36개월,2023-11-10,"예금/대출 문의 : 1577-1771, 공시부서 : 경영기획팀",없음,제한없음,온라인,"신규가입일 당시 영업점 및 인터넷 홈페이지에 고시한 경과기간별 만기후이자율 적용
-1개월 이내: 최종 회전이율과 만기시점 동일상품 동일계약기간의 신규약정금리 중 낮은 금리를 적용
-1개월 초과: 보통예금 이율: 연0.1%(세전)",없음,4,6,우대사항없음,,,,,,,,,,,,,,,,,,,,
1597,상상인저축은행,비대면 9개월 회전정기예금,,4.20%,3.55%,"1,065,960",4.20%,,단리,36개월,2023-11-10,"예금/대출 문의 : 1577-1771, 공시부서 : 경영기획팀",없음,제한없음,온라인,"신규가입일 당시 영업점 및 인터넷 홈페이지에 고시한 경과기간별 만기후이자율 적용
-1개월 이내: 최종 회전이율과 만기시점 동일상품 동일계약기간의 신규약정금리 중 낮은 금리를 적용
-1개월 초과: 보통예금 이율: 연0.1%(세전)",없음,4,6,우대사항없음,,,,,,,,,,,,,,,,,,,,
1598,상상인저축은행,비대면 9개월 회전정기예금,,4.20%,3.55%,"1,133,916",4.20%,,복리,36개월,2023-11-10,"예금/대출 문의 : 1577-1771, 공시부서 : 경영기획팀",없음,제한없음,온라인,"신규가입일 당시 영업점 및 인터넷 홈페이지에 고시한 경과기간별 만기후이자율 적용
-1개월 이내: 최종 회전이율과 만기시점 동일상품 동일계약기간의 신규약정금리 중 낮은 금리를 적용
-1개월 초과: 보통예금 이율: 연0.1%(세전)",없음,4,2,우대사항없음,,,,,,,,,,,,,,,,,,,,
1599,상상인저축은행,e-9개월 회전정기예금,,4.20%,3.55%,"1,065,960",4.20%,,단리,36개월,2023-11-10,"예금/대출 문의 : 1577-1771, 공시부서 : 경영기획팀",없음,제한없음,온라인,"신규가입일 당시 영업점 및 인터넷 홈페이지에 고시한 경과기간별 만기후이자율 적용
-1개월 이내: 최종 회전이율과 만기시점 동일상품 동일계약기간의 신규약정금리 중 낮은 금리를 적용
-1개월 초과: 보통예금 이율: 연0.1%(세전)",없음,4,6,우대사항없음,,,,,,,,,,,,,,,,,,,,
1600,상상인저축은행,e-9개월 회전정기예금,,4.20%,3.55%,"1,133,916",4.20%,,복리,36개월,2023-11-10,"예금/대출 문의 : 1577-1771, 공시부서 : 경영기획팀",없음,제한없음,온라인,"신규가입일 당시 영업점 및 인터넷 홈페이지에 고시한 경과기간별 만기후이자율 적용
-1개월 이내: 최종 회전이율과 만기시점 동일상품 동일계약기간의 신규약정금리 중 낮은 금리를 적용
-1개월 초과: 보통예금 이율: 연0.1%(세전)",없음,4,2,우대사항없음,,,,,,,,,,,,,,,,,,,,
1601,상상인저축은행,9개월 회전정기예금,,4.20%,3.55%,"1,065,960",4.20%,,단리,36개월,2023-11-10,"예금/대출 문의 : 1577-1771, 공시부서 : 경영기획팀",없음,제한없음,영업점,"신규가입일 당시 영업점 및 인터넷 홈페이지에 고시한 경과기간별 만기후이자율 적용
-1개월 이내: 최종 회전이율과 만기시점 동일상품 동일계약기간의 신규약정금리 중 낮은 금리를 적용
-1개월 초과: 보통예금 이율: 연0.1%(세전)",없음,4,1,우대사항없음,,,,,,,,,,,,,,,,,,,,
1602,상상인저축은행,9개월 회전정기예금,,4.20%,3.55%,"1,133,916",4.20%,,복리,36개월,2023-11-10,"예금/대출 문의 : 1577-1771, 공시부서 : 경영기획팀",없음,제한없음,영업점,"신규가입일 당시 영업점 및 인터넷 홈페이지에 고시한 경과기간별 만기후이자율 적용
-1개월 이내: 최종 회전이율과 만기시점 동일상품 동일계약기간의 신규약정금리 중 낮은 금리를 적용
-1개월 초과: 보통예금 이율: 연0.1%(세전)",없음,4,5,우대사항없음,,,,,,,,,,,,,,,,,,,,
1603,키움저축은행,비대면 회전식정기예금 (1년단위 변동금리상품),,4.20%,3.55%,"1,065,960",4.20%,,단리,36개월,2023-08-30,경영지원팀 1670-0077 예적금문의 1670-0077,"*회전시점 고시된 12개월 정기예금금리 + 우대금리 0.1%로 자동연장되는 변동금리상품(1년단위 확정금리). 중도해지시 충족한 회전기간은 약정이율, 미충족기간에 대해서만 중도해지 이율 적용.",제한없음,온라인,"-만기후 1개월 이내
최종회전금리 또는 만기시 동일상품 신규금리 중 낮은 이율
-만기후 1개월 초과
연 0.2% (신규시점의 보통예금 금리)","*계약기간
36개월
(회전주기12개월)",3,0,우대사항없음,,,,,,,,,,,,,,,,,,,,
1604,키움저축은행,비대면 회전식정기예금 (1년단위 변동금리상품),,4.20%,3.55%,"1,133,916",4.20%,,복리,36개월,2023-08-30,경영지원팀 1670-0077 예적금문의 1670-0077,"*회전시점 고시된 12개월 정기예금금리 + 우대금리 0.1%로 자동연장되는 변동금리상품(1년단위 확정금리). 중도해지시 충족한 회전기간은 약정이율, 미충족기간에 대해서만 중도해지 이율 적용.",제한없음,온라인,"-만기후 1개월 이내
최종회전금리 또는 만기시 동일상품 신규금리 중 낮은 이율
-만기후 1개월 초과
연 0.2% (신규시점의 보통예금 금리)","*계약기간
36개월
(회전주기12개월)",3,0,우대사항없음,,,,,,,,,,,,,,,,,,,,
1605,키움저축은행,SB톡톡 회전식정기예금(비대면) (1년단위 변동금리상품),,4.20%,3.55%,"1,065,960",4.20%,,단리,36개월,2023-08-30,경영지원팀 1670-0077 예적금문의 1670-0077,"*회전시점 고시된 12개월 정기예금금리 + 우대금리 0.1%로 자동연장되는 변동금리상품(1년단위 확정금리). 중도해지시 충족한 회전기간은 약정이율, 미충족기간에 대해서만 중도해지 이율 적용.",제한없음,온라인,"-만기후 1개월 이내
최종회전금리 또는 만기시 동일상품 신규금리 중 낮은 이율
-만기후 1개월 초과
연 0.2% (신규시점의 보통예금 금리)","*계약기간
36개월
(회전주기12개월)",3,0,우대사항없음,,,,,,,,,,,,,,,,,,,,
1606,키움저축은행,SB톡톡 회전식정기예금(비대면) (1년단위 변동금리상품),,4.20%,3.55%,"1,133,916",4.20%,,복리,36개월,2023-08-30,경영지원팀 1670-0077 예적금문의 1670-0077,"*회전시점 고시된 12개월 정기예금금리 + 우대금리 0.1%로 자동연장되는 변동금리상품(1년단위 확정금리). 중도해지시 충족한 회전기간은 약정이율, 미충족기간에 대해서만 중도해지 이율 적용.",제한없음,온라인,"-만기후 1개월 이내
최종회전금리 또는 만기시 동일상품 신규금리 중 낮은 이율
-만기후 1개월 초과
연 0.2% (신규시점의 보통예금 금리)","*계약기간
36개월
(회전주기12개월)",3,0,우대사항없음,,,,,,,,,,,,,,,,,,,,
1607,상상인플러스저축은행,비대면 9개월 회전정기예금,,4.10%,3.47%,"1,105,277",4.10%,,복리,36개월,2023-11-13,예적금 문의 16002100,없음,제한없음,온라인,"만기후 1개월 이내 : 최초 약정이율과 만기 시점 이율 비교 후 낮은금리 적용
만기후 1개월 이후 : 보통예금 이율 적용(연 0.1%)","실제예치기간별 차등금리
1개월 미만: 연0.1%(세전)
1개월 이상 9개월 미만: 약정이율의 50%(세전)
[1회전주기 도래 전] 예금일 당시 회전정기예금 중도해지 이자율 적용
[회전주기 도래 후] 회전주기 충족분은 정상이자율 적용, 잔여분은 중도해지 이자율 적용",4,2,우대사항없음,,,,,,,,,,,,,,,,,,,,
1608,상상인플러스저축은행,비대면 9개월 회전정기예금,,4.10%,3.47%,"1,040,580",4.10%,,단리,36개월,2023-11-13,예적금 문의 16002100,없음,제한없음,온라인,"만기후 1개월 이내 : 최초 약정이율과 만기 시점 이율 비교 후 낮은금리 적용
만기후 1개월 이후 : 보통예금 이율 적용(연 0.1%)","실제예치기간별 차등금리
1개월 미만: 연0.1%(세전)
1개월 이상 9개월 미만: 약정이율의 50%(세전)
[1회전주기 도래 전] 예금일 당시 회전정기예금 중도해지 이자율 적용
[회전주기 도래 후] 회전주기 충족분은 정상이자율 적용, 잔여분은 중도해지 이자율 적용",4,6,우대사항없음,,,,,,,,,,,,,,,,,,,,
1609,상상인플러스저축은행,크크크 9개월 회전정기예금,,4.10%,3.47%,"1,105,277",4.10%,,복리,36개월,2023-11-13,예적금 문의 16002100,없음,제한없음,온라인,"만기후 1개월 이내 : 최초 약정이율과 만기 시점 이율 비교 후 낮은금리 적용
만기후 1개월 이후 : 보통예금 이율 적용(연 0.1%)","실제예치기간별 차등금리
1개월 미만: 연0.1%(세전)
1개월 이상 9개월 미만: 약정이율의 50%(세전)
[1회전주기 도래 전] 예금일 당시 회전정기예금 중도해지 이자율 적용
[회전주기 도래 후] 회전주기 충족분은 정상이자율 적용, 잔여분은 중도해지 이자율 적용",4,2,우대사항없음,,,,,,,,,,,,,,,,,,,,
1610,상상인플러스저축은행,크크크 9개월 회전정기예금,,4.10%,3.47%,"1,040,580",4.10%,,단리,36개월,2023-11-13,예적금 문의 16002100,없음,제한없음,온라인,"만기후 1개월 이내 : 최초 약정이율과 만기 시점 이율 비교 후 낮은금리 적용
만기후 1개월 이후 : 보통예금 이율 적용(연 0.1%)","실제예치기간별 차등금리
1개월 미만: 연0.1%(세전)
1개월 이상 9개월 미만: 약정이율의 50%(세전)
[1회전주기 도래 전] 예금일 당시 회전정기예금 중도해지 이자율 적용
[회전주기 도래 후] 회전주기 충족분은 정상이자율 적용, 잔여분은 중도해지 이자율 적용",4,6,우대사항없음,,,,,,,,,,,,,,,,,,,,
1611,상상인플러스저축은행,E-9개월 회전정기예금,,4.10%,3.47%,"1,105,277",4.10%,,복리,36개월,2023-11-13,예적금 문의 16002100,없음,제한없음,온라인,"만기후 1개월 이내 : 최초 약정이율과 만기 시점 이율 비교 후 낮은금리 적용
만기후 1개월 이후 : 보통예금 이율 적용(연 0.1%)","실제예치기간별 차등금리
1개월 미만: 연0.1%(세전)
1개월 이상 9개월 미만: 약정이율의 50%(세전)
[1회전주기 도래 전] 예금일 당시 회전정기예금 중도해지 이자율 적용
[회전주기 도래 후] 회전주기 충족분은 정상이자율 적용, 잔여분은 중도해지 이자율 적용",4,2,우대사항없음,,,,,,,,,,,,,,,,,,,,
1612,상상인플러스저축은행,E-9개월 회전정기예금,,4.10%,3.47%,"1,040,580",4.10%,,단리,36개월,2023-11-13,예적금 문의 16002100,없음,제한없음,온라인,"만기후 1개월 이내 : 최초 약정이율과 만기 시점 이율 비교 후 낮은금리 적용
만기후 1개월 이후 : 보통예금 이율 적용(연 0.1%)","실제예치기간별 차등금리
1개월 미만: 연0.1%(세전)
1개월 이상 9개월 미만: 약정이율의 50%(세전)
[1회전주기 도래 전] 예금일 당시 회전정기예금 중도해지 이자율 적용
[회전주기 도래 후] 회전주기 충족분은 정상이자율 적용, 잔여분은 중도해지 이자율 적용",4,6,우대사항없음,,,,,,,,,,,,,,,,,,,,
1613,상상인플러스저축은행,9개월 회전정기예금,,4.10%,3.47%,"1,040,580",4.10%,,단리,36개월,2023-11-13,예적금 문의 16002100,없음,제한없음,영업점,"만기후 1개월 이내 : 최초 약정이율과 만기 시점 이율 비교 후 낮은금리 적용
만기후 1개월 이후 : 보통예금 이율 적용(연 0.1%)","실제예치기간별 차등금리
1개월 미만: 연0.1%(세전)
1개월 이상 9개월 미만: 약정이율의 50%(세전)
[1회전주기 도래 전] 예금일 당시 회전정기예금 중도해지 이자율 적용
[회전주기 도래 후] 회전주기 충족분은 정상이자율 적용, 잔여분은 중도해지 이자율 적용",4,1,우대사항없음,,,,,,,,,,,,,,,,,,,,
1614,상상인플러스저축은행,9개월 회전정기예금,,4.10%,3.47%,"1,105,277",4.10%,,복리,36개월,2023-11-13,예적금 문의 16002100,없음,제한없음,영업점,"만기후 1개월 이내 : 최초 약정이율과 만기 시점 이율 비교 후 낮은금리 적용
만기후 1개월 이후 : 보통예금 이율 적용(연 0.1%)","실제예치기간별 차등금리
1개월 미만: 연0.1%(세전)
1개월 이상 9개월 미만: 약정이율의 50%(세전)
[1회전주기 도래 전] 예금일 당시 회전정기예금 중도해지 이자율 적용
[회전주기 도래 후] 회전주기 충족분은 정상이자율 적용, 잔여분은 중도해지 이자율 적용",4,5,우대사항없음,,,,,,,,,,,,,,,,,,,,
1615,애큐온저축은행,정기예금,,4.10%,3.47%,"1,040,580",4.20%,,단리,36개월,2023-11-13,ESG경영팀 0234852434,인터넷뱅킹 가입: 연 0.05% 폰뱅킹 가입: 연 0.05% 모바일뱅킹 가입: 연0.10%,제한없음,모두가능,"만기후 1개월 이내 해지 시 : 약정금리(2019.07.01 신규부터 적용)
만기후 1개월 초과 이후 해지 시 : 보통예금이율(2019.07.01 신규부터 적용)",가입금액 1백만원이상,4,7,* 비대면 : 0.05% [모바일 시 0.05% 가산],,,,,,,0.05%,,,,,,,,,,,,,
